file,instrument,bpm,sub_freq,sub_level,sub_decay,click_amp,click_tone_freq,click_decay,distortion,brightness,style,rms,max,min,mean
kick\kick_loop_00035.wav,kick,174,52.39370122741878,0.9252327175786587,0.12491270001677217,0.6413759245230555,4330.250851067723,0.010966841550321803,0.5210409613342434,0.386611132456382,neuro,0.3217397928237915,0.9211682677268982,-1.0,-0.0007827114313840866
kick\kick_loop_00036.wav,kick,174,47.18354970176053,0.890313998311878,0.1047595471591593,0.8185083898250334,5666.020228175403,0.01003359233363313,0.6976308712240353,0.4819194808389348,default,0.1745508760213852,0.8925012946128845,-1.0,0.0002635013370309025
kick\kick_loop_00037.wav,kick,174,59.57461619273887,0.9109199044381614,0.24507377327968982,0.5073551187024212,2621.157435896146,0.014974135034242596,0.1040804223131202,0.10089020885390544,default,0.25120165944099426,0.9680086970329285,-1.0,-0.0006593817961402237
kick\kick_loop_00038.wav,kick,174,53.201366038029555,0.8700724199384459,0.20843462445443975,0.5338058064533149,3095.1336963190615,0.012613424885830254,0.3006729680279096,0.20005618391000346,jungle,0.23353053629398346,0.9543666243553162,-1.0,-0.0002264101494802162
kick\kick_loop_00039.wav,kick,174,54.82004832558962,0.8575671539250668,0.19161840977475791,0.5676456868274873,3078.856599855912,0.012490125852788716,0.30119216146705663,0.20811757196771222,jungle,0.38715285062789917,0.9522495865821838,-1.0,-0.0010073104640468955
kick\kick_loop_00040.wav,kick,174,50.66660268408472,0.9401599894233442,0.12556081428140975,0.6308184827786976,4018.3104994812134,0.010779903433002943,0.48628817786388007,0.3969036584109769,neuro,0.1867298036813736,0.9182349443435669,-1.0,3.137333260383457e-05
kick\kick_loop_00041.wav,kick,174,58.221003324449306,0.8690171294657457,0.2553204729639681,0.5031649805995038,2411.1278517917503,0.014762935469946956,0.09782589350876622,0.10485398347283491,default,0.25613391399383545,0.9679176807403564,-1.0,-0.0005773819284513593
kick\kick_loop_00042.wav,kick,174,56.890517611627075,0.8239189426446867,0.20398462861472905,0.5549039481255641,2851.866158722235,0.013394415363664255,0.28902845199576965,0.19343741589335833,jungle,0.3786610960960388,0.941039502620697,-1.0,-0.0014450279995799065
kick\kick_loop_00043.wav,kick,174,43.83603135360237,0.899933740262582,0.1020874455270443,0.7963860032501542,5552.455845518428,0.010046999782940975,0.6700819328212104,0.5164700600334988,default,0.17502088844776154,0.8797550201416016,-1.0,0.0009726682328619063
kick\kick_loop_00044.wav,kick,174,44.68675999929313,0.9207950414072226,0.09861197033765547,0.8177640209597481,5632.64300600635,0.010477220057248349,0.6678735146727366,0.49866986316855266,default,0.17199553549289703,0.8779289722442627,-1.0,0.0008888286538422108
kick\kick_loop_00045.wav,kick,174,47.58368136734542,0.9067350461403374,0.14572596632699783,0.6809045504550513,3933.8778880809737,0.01213001774793707,0.40331130188616454,0.3013753994773494,default,0.3471381664276123,0.9245325326919556,-1.0,0.0006676458287984133
kick\kick_loop_00046.wav,kick,174,57.40672925033551,0.8822295079084485,0.20403280857510847,0.5613045473273339,3013.891769468789,0.01336068047130789,0.30260556717910714,0.19270789814885125,jungle,0.3599260151386261,0.9300380945205688,-1.0,-0.001663269242271781
kick\kick_loop_00047.wav,kick,174,47.69737599970796,0.9918824846767339,0.15171176697997796,0.7005865645289909,3998.571488688468,0.011512189339040135,0.39932845400294126,0.28597224067822985,default,0.35319700837135315,0.9277822375297546,-1.0,0.0011352334404364228
kick\kick_loop_00048.wav,kick,174,57.49216559128264,0.8798567230828755,0.20608866913073873,0.5763481045673531,3130.7108619868995,0.01299960847791604,0.3112012486602245,0.1944054641070557,jungle,0.23174156248569489,0.9588026404380798,-1.0,-0.0005613798857666552
kick\kick_loop_00049.wav,kick,174,44.37999842435146,0.9010885301613598,0.10400536704895659,0.7824820771187996,5750.026745940668,0.010315050346923312,0.7123953637384315,0.5171411342685273,default,0.30463477969169617,0.8837239146232605,-1.0,0.0021100942976772785
kick\kick_loop_00050.wav,kick,174,47.28866877126852,0.909064466249455,0.1500585498024301,0.6972057445874826,3864.290182219891,0.012560573684528953,0.38224445871554663,0.3066498204469448,default,0.2031235545873642,0.9262676239013672,-1.0,0.0003693981852848083
kick\kick_loop_00051.wav,kick,174,58.71269199686387,0.9014732413811569,0.2609359717522538,0.5115938807749102,2407.473485684128,0.01509892406920044,0.09562227154224529,0.10434937730644403,default,0.3607828617095947,0.9561877250671387,-1.0,-0.0019388527143746614
kick\kick_loop_00052.wav,kick,174,62.93863725711709,0.9188535796892063,0.2598903981193832,0.5010193413224594,2392.1203520137956,0.015061140273676851,0.09552736029702845,0.10073233684652065,default,0.3690704107284546,0.9580517411231995,-1.0,-0.0017275384161621332
kick\kick_loop_00053.wav,kick,174,59.81913428000593,0.8815540669252769,0.24042377396949458,0.5070302052167206,2427.8990715694667,0.015522350355077109,0.09540130670532321,0.09591073899685885,default,0.24894031882286072,0.9676035642623901,-1.0,-0.0006222757510840893
kick\kick_loop_00054.wav,kick,174,46.305741591358284,0.8613031646215128,0.10480519521062323,0.8002274677528785,5413.586181356008,0.00971396639652445,0.667287837628259,0.5205954285452419,default,0.30328598618507385,0.8901888132095337,-1.0,0.0009372577769681811
kick\kick_loop_00055.wav,kick,174,44.26290600071567,0.9146297703403913,0.10048755242575062,0.7652548908516165,5504.81672129015,0.00995727865053119,0.6825913133327907,0.5189532616329977,default,0.17360158264636993,0.8790422081947327,-1.0,0.0009249809081666172
kick\kick_loop_00056.wav,kick,174,61.025101064614944,0.8795246390978367,0.24883197835742557,0.4944239195903168,2605.708539581337,0.015198500889012628,0.09995035012167137,0.0966090241159697,default,0.25303468108177185,0.9703124165534973,-1.0,-0.0006280365050770342
kick\kick_loop_00057.wav,kick,174,54.60430920186419,0.8135353654515805,0.20802354646490928,0.5467096327840069,3044.240281545305,0.012654388668844788,0.2970972832644559,0.20011675550441851,jungle,0.40032583475112915,0.9558761715888977,-1.0,-0.0008191398810595274
kick\kick_loop_00058.wav,kick,174,61.77944215834587,0.9052066386970407,0.242722265340989,0.508348494087603,2475.2663841599287,0.015341619599060793,0.0999937798077644,0.10456335827262297,default,0.25013622641563416,0.9705302715301514,-1.0,-0.0006628716364502907
kick\kick_loop_00059.wav,kick,174,58.07231344988461,0.9361415759801649,0.2382553483515473,0.48164529891819485,2548.4578849472987,0.015045689938041949,0.09709608483491862,0.10320696293758364,default,0.24794216454029083,0.9652882218360901,-1.0,-0.0005818423232994974
kick\kick_loop_00060.wav,kick,174,58.847539941874835,0.8678096035407569,0.2513286579222673,0.47952661207599867,2478.0312681931155,0.015598249358966802,0.0987355497425139,0.10008011765997567,default,0.25421255826950073,0.9680283665657043,-1.0,-0.0006200596690177917
kick\kick_loop_00061.wav,kick,174,47.91247281813233,0.8685591825832336,0.12452238360213533,0.6324588239337594,4011.593513260189,0.011519825213262962,0.5030666222201655,0.4041684301313142,neuro,0.3242226839065552,0.9118800163269043,-1.0,0.0006090592942200601
kick\kick_loop_00062.wav,kick,174,62.81146441716843,0.8690988487716168,0.25228056805988586,0.4943937022604461,2429.894540453462,0.0149514797609361,0.10122019811858285,0.10100991329479221,default,0.3766002953052521,0.9572324156761169,-1.0,-0.0017331248382106423
kick\kick_loop_00063.wav,kick,174,47.81254680103005,0.9767370422993668,0.14693579398478462,0.7004245128989485,3927.8992598330383,0.01154664979493363,0.4039399076749195,0.3140319442518568,default,0.34820497035980225,0.9255719184875488,-1.0,0.0007753673125989735
kick\kick_loop_00064.wav,kick,174,55.94412356371133,0.8910886759579403,0.19874026591305552,0.5503499676810781,2914.1322153767974,0.01346579442481109,0.2974368248822073,0.19166863315194788,jungle,0.22804950177669525,0.9553743600845337,-1.0,-0.0003999937907792628
kick\kick_loop_00065.wav,kick,174,47.6716789137563,0.8987368356902484,0.12098518327843737,0.6377685505966304,4344.943739996346,0.010668192753296536,0.511232960693143,0.4093517807685976,neuro,0.32049596309661865,0.9086695313453674,-1.0,0.0004203537246212363
kick\kick_loop_00066.wav,kick,174,55.09156817387314,0.8269365273768954,0.19836747798692783,0.5439649782827084,3010.4305350731192,0.012522340247214256,0.2917533235265048,0.19925750288848007,jungle,0.22797280550003052,0.9542702436447144,-1.0,-0.00041098680230788887
kick\kick_loop_00067.wav,kick,174,49.729563241620035,0.9280882064256677,0.1156927708668559,0.6379461263916771,4250.333974662887,0.011532894514231912,0.5056637870724398,0.40419804109339225,neuro,0.3129175901412964,0.9089505672454834,-1.0,-0.0002853737969417125
kick\kick_loop_00068.wav,kick,174,45.419739916322854,0.8576645223834882,0.104945818296048,0.7940442397227611,5629.75577618468,0.009519177348420104,0.7066090467137859,0.48670832273297887,default,0.3044652044773102,0.8878882527351379,-1.0,0.0012792585184797645
kick\kick_loop_00069.wav,kick,174,62.61184493379535,0.9241521321250064,0.25189361867202875,0.478077035704102,2446.793863631316,0.01493022564911279,0.1003639117008469,0.09541420677232228,default,0.25463902950286865,0.9730052351951599,-1.0,-0.0007319606957025826
kick\kick_loop_00070.wav,kick,174,60.705910424327485,0.8863830556291892,0.2476341845892446,0.4959713400086137,2556.2007103439914,0.015569491413412075,0.10318508545042528,0.0960584772375811,default,0.2524432837963104,0.9697248339653015,-1.0,-0.0006258320063352585
kick\kick_loop_00071.wav,kick,174,57.243527535630434,0.8611945360606801,0.19431759638433918,0.5740109167696433,3139.477991096571,0.013222678925646682,0.2905725294533747,0.20587628684137085,jungle,0.3666013777256012,0.9281957745552063,-1.0,-0.0013758797431364655
kick\kick_loop_00072.wav,kick,174,48.16357674745401,0.9070145506329699,0.14938834296091566,0.7083204755090196,4067.373278640999,0.01198250004965004,0.391567201380313,0.30279304988399713,default,0.35049891471862793,0.9274755120277405,-1.0,0.0009395488887093961
kick\kick_loop_00073.wav,kick,174,47.01482474235765,0.9490586649334222,0.15452860009127972,0.6771434810670645,4155.7424851217365,0.011918598084315328,0.4001716473337104,0.2935112167008854,default,0.205861434340477,0.9279928207397461,-1.0,0.0004682308644987643
kick\kick_loop_00074.wav,kick,174,47.91873714244397,0.9757202285282719,0.155494991803059,0.7283589797575007,4027.4611337241035,0.011877104593097192,0.3943987445454185,0.298654936577985,default,0.3568700850009918,0.9299849271774292,-1.0,0.0008681969484314322
kick\kick_loop_00075.wav,kick,174,55.41405964561754,0.8892209894570621,0.20887023213882983,0.5416657648576672,2924.173453781652,0.013420191349854917,0.2972612018994733,0.1919721170091894,jungle,0.23342265188694,0.9570193886756897,-1.0,-0.0004633650532923639
kick\kick_loop_00076.wav,kick,174,44.1682391096818,0.8862810705854952,0.09618560290296371,0.819840776797305,5312.632883178279,0.009503268882763288,0.7281914417987936,0.5071485468014242,default,0.17073869705200195,0.8729095458984375,-1.0,0.0010135768679901958
kick\kick_loop_00077.wav,kick,174,51.41495058207947,0.8870275465761245,0.1182436604359893,0.650487319595841,4404.452822898084,0.010624122473618892,0.4807716936139947,0.3868454515635588,neuro,0.1817152500152588,0.9145594239234924,-1.0,-6.228266283869743e-05
kick\kick_loop_00078.wav,kick,174,57.55134186671091,0.8194719339021015,0.20956514136016557,0.5619094112803172,2885.6152544879324,0.013522665567060407,0.3018567278520696,0.20353989940266648,jungle,0.23354396224021912,0.9596114158630371,-1.0,-0.0004972254973836243
kick\kick_loop_00079.wav,kick,174,55.69308969281035,0.820892115868388,0.19021203218356464,0.5617701927468773,3000.1083231080943,0.01319767657040825,0.3026024270097743,0.1909293633583742,jungle,0.22351716458797455,0.9529687762260437,-1.0,-0.0004920795909129083
kick\kick_loop_00080.wav,kick,174,47.240715401649595,0.9449422620158354,0.1567546139062227,0.7141651363965492,3979.5436050556455,0.012250765514545322,0.40364345192186796,0.31463935776436275,default,0.2070508450269699,0.9294407963752747,-1.0,0.0004043772933073342
kick\kick_loop_00081.wav,kick,174,48.59966866006259,0.9437929036473,0.11987783226486302,0.6198895842354657,4037.5261147426045,0.011386539604484875,0.507575395283829,0.3813972154525267,neuro,0.18388302624225616,0.9098443388938904,-1.0,4.040109706693329e-05
kick\kick_loop_00082.wav,kick,174,61.58979270255717,0.9253289476103435,0.2618234271231318,0.5125873654938691,2392.5748114661947,0.015662477397461797,0.09638053640939251,0.10084719823271787,default,0.25923970341682434,0.9727168083190918,-1.0,-0.0006435480900108814
kick\kick_loop_00083.wav,kick,174,43.14341667109827,0.9131422706167406,0.09973351907428013,0.831919791897549,5245.936710456422,0.010457293817232666,0.6820162254801944,0.5217840186826967,default,0.30138733983039856,0.8743950128555298,-1.0,0.0036223724018782377
kick\kick_loop_00084.wav,kick,174,49.52083602268917,0.9387986784545134,0.11977472901351353,0.6618381765787237,4222.133961618808,0.010589620172204885,0.5058000791766171,0.41586509864946697,neuro,0.18342462182044983,0.9117253422737122,-1.0,3.108413466179627e-06
kick\kick_loop_00085.wav,kick,174,48.26552929367511,0.9780642359602434,0.15339313106429972,0.6863551087955584,4090.6740189731986,0.011542361252696212,0.41839960496786593,0.3040178232683803,default,0.35449501872062683,0.9295820593833923,-1.0,0.0008184747421182692
kick\kick_loop_00086.wav,kick,174,48.04154781436594,0.9291456488639153,0.14872691565513715,0.6932559092773343,3988.1779079076264,0.01200131229500989,0.40919044635915197,0.30698310056137923,default,0.20200514793395996,0.9268734455108643,-1.0,0.00030735720065422356
kick\kick_loop_00087.wav,kick,174,46.09944181801939,0.9361706434279765,0.1460699963923909,0.7309848947595983,3960.1808442744973,0.011611436261718256,0.41483334109605896,0.2882823887533419,default,0.34871405363082886,0.9219860434532166,-1.0,0.0010976073099300265
kick\kick_loop_00088.wav,kick,174,49.20665886664499,0.8901226756205809,0.11772314846334829,0.6436874803939134,4384.620391456665,0.010954457297446742,0.5032164156700283,0.41197854432187386,neuro,0.31559813022613525,0.9094552993774414,-1.0,-0.00010492095316294581
kick\kick_loop_00089.wav,kick,174,45.914169863256966,0.9278225737739558,0.15473153952644025,0.7143582573118474,4158.43128984688,0.011471597824714493,0.40844802564989147,0.3008883090303272,default,0.357681006193161,0.9261757731437683,-1.0,0.0016486606327816844
kick\kick_loop_00090.wav,kick,174,59.8673754547188,0.8766059275001186,0.25020419729274423,0.5180932661157505,2615.654988571016,0.015704208676848432,0.09619052033700473,0.10164980908660509,default,0.4332016110420227,0.969056248664856,-1.0,-0.0019615066703408957
kick\kick_loop_00091.wav,kick,174,59.85021080665362,0.8746635865062571,0.24251012283460954,0.4876801852688608,2579.081793070642,0.014903891939309268,0.10029450305997362,0.09813873061105799,default,0.24995410442352295,0.9679622054100037,-1.0,-0.0006571501144208014
kick\kick_loop_00092.wav,kick,174,43.67910014327724,0.8938043427608786,0.10315363408242703,0.8062772398556958,5479.052435298757,0.010097178346933643,0.7274210215863376,0.5224437959431881,default,0.30459311604499817,0.8805695176124573,-1.0,0.0028957966715097427
kick\kick_loop_00093.wav,kick,174,59.63968425173628,0.875746833222901,0.24329399377305497,0.48470015223734936,2511.9949537136094,0.01427987879424791,0.09649283576891615,0.09550288278503821,default,0.43042299151420593,0.9678263664245605,-1.0,-0.002205278491601348
kick\kick_loop_00094.wav,kick,174,56.773191392861186,0.8523327557138105,0.19808838331583545,0.5711293417856607,2860.3039689276875,0.013571117637690873,0.2949035367408286,0.19333105690559366,jungle,0.22759881615638733,0.9562080502510071,-1.0,-0.00044548968435265124
kick\kick_loop_00095.wav,kick,174,43.319619308613206,0.8841779357600164,0.10166792155674875,0.7862863786343566,5720.732791151914,0.00977011193217302,0.671504076013219,0.48040095492335405,default,0.1751476377248764,0.8775200843811035,-1.0,0.0011377098271623254
kick\kick_loop_00096.wav,kick,174,50.23780684859272,0.9385912124750881,0.11507242290550163,0.6553038762472964,4045.874122308271,0.010993312258691535,0.4959032509008788,0.3970137827625188,neuro,0.1800387054681778,0.9095720648765564,-1.0,-0.0001444353983970359
kick\kick_loop_00097.wav,kick,174,51.9396816604841,0.930477372186789,0.11401859188712253,0.6655008957557002,4275.316475428446,0.010860870438341231,0.5051315336057624,0.4056368247866626,neuro,0.17873191833496094,0.9123831987380981,-1.0,-0.00022437208099290729
kick\kick_loop_00098.wav,kick,174,46.90876849088053,0.8918137298059271,0.09777421817268424,0.8382366784002878,5597.610815272376,0.010032181851645342,0.6735253860578776,0.5136658172964561,default,0.2942960858345032,0.8835821151733398,-1.0,0.0009942729957401752
kick\kick_loop_00099.wav,kick,174,55.74485630740008,0.881288691392301,0.2094960758323932,0.5636225579269319,3114.5329961631137,0.01280807677427976,0.3076343821119729,0.2042913266396111,jungle,0.23369638621807098,0.9574980139732361,-1.0,-0.000498869689181447
kick\kick_loop_00100.wav,kick,174,48.753846003934726,0.9294101640376687,0.12344609315062803,0.6649434618314505,4386.843848211027,0.010890143821594821,0.4815334199927772,0.4075301773095144,neuro,0.3223579525947571,0.9128619432449341,-1.0,0.00045597300049848855
kick\kick_loop_00101.wav,kick,174,58.1658471691513,0.8770151710522346,0.24730189067306724,0.49722788191061984,2514.2405935107618,0.015265422965832696,0.09700277484982447,0.101671826415701,default,0.34463462233543396,0.9476526379585266,-1.0,-0.0017786575481295586
kick\kick_loop_00102.wav,kick,174,50.16654042485808,0.9807564051820223,0.14857009243351763,0.6888467083828358,3905.4019654234976,0.011525540886477361,0.39376326487648733,0.2947067544117092,default,0.3483540713787079,0.9304453134536743,-1.0,7.131356687750667e-05
kick\kick_loop_00103.wav,kick,174,57.700903852935234,0.883343837309913,0.24984897101612405,0.48519981125469813,2523.167906836541,0.015251154423546574,0.09967536466419871,0.10113503232358134,default,0.3471914529800415,0.9473950266838074,-1.0,-0.0015857287216931581
kick\kick_loop_00104.wav,kick,174,45.70944025144591,0.9183003360853574,0.14797436707782133,0.6936650522118063,4041.4257982868085,0.012378789302168989,0.3962883030399607,0.2963522370308379,default,0.2026585191488266,0.9222850799560547,-1.0,0.00041408612742088735
kick\kick_loop_00105.wav,kick,174,47.79434792247637,0.910642268923558,0.12085738937043589,0.6634890639063536,4306.556951812142,0.01112768483837103,0.5175936132427778,0.4126943780762278,neuro,0.32024043798446655,0.9088327884674072,-1.0,0.00037511021946556866
kick\kick_loop_00106.wav,kick,174,61.47726160354503,0.8662282454958228,0.24800949585676782,0.518199269441412,2622.8576055208414,0.014612476401940964,0.09699834417026455,0.10451254403983351,default,0.4276520013809204,0.9708296656608582,-1.0,-0.0012934301048517227
kick\kick_loop_00107.wav,kick,174,59.50709251226146,0.8858186871211328,0.24468340510639508,0.519705515701377,2502.923174129609,0.015397179221019935,0.09896459365611499,0.09914498324458737,default,0.2510072886943817,0.9678497910499573,-1.0,-0.0006523543270304799
