file,instrument,bpm,noise_level,tone_freq,body,decay,brightness,style,rms,max,min,mean
hat\hat_loop_00342.wav,hat,174,0.5132381108641371,7668.868964754311,0.10318335932539663,0.019848831690564547,0.8027737917072052,default,0.13794320821762085,1.0,-0.9444254040718079,-2.114376684403396e-06
hat\hat_loop_00343.wav,hat,174,0.48050458918516603,7938.658196214684,0.10168015060504532,0.01992617365984527,0.7953242210814867,default,0.12483367323875427,1.0,-0.9591326117515564,-4.309355006171245e-07
hat\hat_loop_00344.wav,hat,174,0.5738271786302138,9367.978610633485,0.1563316889459022,0.07620234614053017,0.43837296932873276,jungle,0.16187569499015808,1.0,-0.9212568402290344,-1.40561411399176e-07
hat\hat_loop_00345.wav,hat,174,0.5334724923605606,8913.493323105064,0.11913166403918424,0.020047350803354225,0.5703776472479868,jumpup,0.12034842371940613,0.8609868288040161,-1.0,2.782233877951512e-06
hat\hat_loop_00346.wav,hat,174,0.5891814040771121,9904.231923297464,0.15685484889303275,0.10335972494595115,0.5019568510239536,default,0.18398544192314148,1.0,-0.8779987692832947,6.373572318807419e-07
hat\hat_loop_00347.wav,hat,174,0.6746523695488537,7526.902176345691,0.18024895470953717,0.028629731921465056,0.24352401494138268,neuro,0.14748847484588623,0.9758167862892151,-1.0,3.913211514827708e-07
hat\hat_loop_00348.wav,hat,174,0.519727053438555,8277.849473139664,0.09692008579889734,0.019348663352879672,0.7872254850127903,default,0.14270883798599243,1.0,-0.9774038195610046,2.8966377385586384e-07
hat\hat_loop_00349.wav,hat,174,0.5279761025845662,8473.944504047371,0.12128930402711792,0.020134662749056773,0.6151215339096041,jumpup,0.12217636406421661,0.885115921497345,-1.0,5.767828952230047e-07
hat\hat_loop_00350.wav,hat,174,0.5746804601635704,8833.173207623922,0.14901081426615695,0.08074050240431045,0.45217647606168915,jungle,0.16738848388195038,0.9311068058013916,-1.0,-1.12387294848304e-06
hat\hat_loop_00351.wav,hat,174,0.6821587458440349,6651.28503282784,0.19379410192090352,0.020688885902980327,0.2036398920388358,default,0.12434403598308563,0.901481568813324,-1.0,-1.2043827837260324e-06
hat\hat_loop_00352.wav,hat,174,0.6020134537319664,9786.520299893198,0.14761057909786296,0.10169112744061375,0.4958649977517631,default,0.1838763952255249,0.9918498992919922,-1.0,8.648121507803808e-08
hat\hat_loop_00353.wav,hat,174,0.5060410322130251,8128.452302157452,0.09787628961430964,0.020213646918807317,0.7670017999051028,default,0.12393947690725327,1.0,-0.9385920763015747,2.85317298676091e-07
hat\hat_loop_00354.wav,hat,174,0.49596140156123086,7732.473154785615,0.09605772965783901,0.020252864450033072,0.7971477389451248,default,0.13382987678050995,1.0,-0.9238717555999756,-1.0211865628662053e-06
hat\hat_loop_00355.wav,hat,174,0.6263596542707041,9738.404153650343,0.15115238703260533,0.09717215519130586,0.48945085212989986,default,0.17919181287288666,0.9517162442207336,-1.0,2.0899599348922493e-06
hat\hat_loop_00356.wav,hat,174,0.5798346051230162,9631.829559103204,0.15295972064408497,0.09926172312260852,0.5198609384448819,default,0.18868416547775269,1.0,-0.9763633012771606,-3.675812877190765e-06
hat\hat_loop_00357.wav,hat,174,0.6101809931154907,8646.14976901168,0.15040014408916413,0.07759194119393444,0.44954065751635436,jungle,0.16321729123592377,1.0,-0.9485728144645691,4.721204049928929e-08
hat\hat_loop_00358.wav,hat,174,0.6475594780366651,7825.8637442403415,0.1812351406205503,0.03086326785432305,0.25811185341266984,neuro,0.13243237137794495,0.9579485058784485,-1.0,-9.919621390963584e-08
hat\hat_loop_00359.wav,hat,174,0.5765131019670652,8565.120171878276,0.1259923119431767,0.020096761700534017,0.6199645364790918,jumpup,0.13774794340133667,1.0,-0.9987555742263794,-1.0390710940555437e-06
hat\hat_loop_00360.wav,hat,174,0.6085878738536034,8971.536845802166,0.14649217757674174,0.0818638937561483,0.45712625607606405,jungle,0.16166964173316956,1.0,-0.9758542776107788,4.572160321458796e-07
hat\hat_loop_00361.wav,hat,174,0.6206955749582928,7472.5326117637715,0.17702010493567696,0.03010118729723802,0.2613687255089738,neuro,0.13197721540927887,1.0,-0.8920126557350159,1.7260920230910415e-06
