file,instrument,bpm,freq,amp,decay,drive,sub_oct,filter_cut,osc_type,style,rms,max,min,mean
bass\bass_loop_00546.wav,bass,174,49.831250016763875,0.9341998377878719,0.6187027626243496,0.8126009303130479,1.0424906144181645,153.94563977162787,saw,techstep,0.6037085652351379,1.0,-0.9970878958702087,-0.0006597599131055176
bass\bass_loop_00547.wav,bass,174,48.26295518670586,0.9881032919819623,0.6841938433087966,0.718062681004235,0.9521371094930712,124.74436043693558,sine,default,0.47845759987831116,0.9974585771560669,-1.0,0.0016542692901566625
bass\bass_loop_00548.wav,bass,174,50.418876861468455,0.9226836750640387,0.6703311823714503,0.7301380193969638,0.9765400414022308,125.14530886898456,sine,default,0.4700464904308319,0.9984732866287231,-1.0,0.0012806238373741508
bass\bass_loop_00549.wav,bass,174,38.233954573841615,0.8433126964960407,0.7957727906134735,0.0,0.0,155.43766145350477,sine,default,0.6068883538246155,0.9964115619659424,-1.0,0.0014125702437013388
bass\bass_loop_00550.wav,bass,174,49.5303403794294,0.929022837699473,0.6746021920807762,0.7856197914324617,0.9533250238721493,142.77765015888977,saw,techstep,0.5314725041389465,0.9988678693771362,-1.0,-0.001480097882449627
bass\bass_loop_00551.wav,bass,174,60.871810577229226,0.9362151784464845,0.5203085947302939,0.6282338793119508,1.015208387489833,174.7454248202275,saw,jumpup,0.516337513923645,0.9975477457046509,-1.0,-0.0014557635877281427
bass\bass_loop_00552.wav,bass,174,41.67917802961699,0.8150914964537115,0.834760724415488,0.0,0.0,145.5049954548264,sine,default,0.4756007492542267,0.9968432188034058,-1.0,0.004194802138954401
bass\bass_loop_00553.wav,bass,174,51.18724997126722,0.9065019780054496,0.6262241069491666,0.8177327181832148,1.0437068882664255,150.26288419968773,saw,techstep,0.48274049162864685,0.9967419505119324,-1.0,0.001244358136318624
bass\bass_loop_00554.wav,bass,174,39.53636901271532,0.886400907469574,0.8144918624081812,0.0,0.0,143.51603526981546,sine,default,0.47702816128730774,0.9967266321182251,-1.0,0.004592211451381445
bass\bass_loop_00555.wav,bass,174,38.30865584378048,0.8458774076653142,0.8354254236545666,0.0,0.0,143.81157287720586,sine,default,0.5989797711372375,0.9964213371276855,-1.0,0.0020743838977068663
bass\bass_loop_00556.wav,bass,174,61.84732204633385,0.8749200278187557,0.5091613937938853,0.6083877006276738,0.9781814433914633,179.3804144311583,saw,jumpup,0.5068039894104004,0.9968687295913696,-1.0,-6.439586741180392e-06
bass\bass_loop_00557.wav,bass,174,43.25692270324477,0.8745711653876014,0.6918232229898449,0.386624046770319,0.9611989601040216,101.67020195681283,sine,liquid,0.5332026481628418,0.9971327185630798,-1.0,0.0002858398947864771
bass\bass_loop_00558.wav,bass,174,51.558150336209785,0.8842199872723311,0.6568501632424133,0.79658192839677,1.024628472028405,148.74127510159644,saw,techstep,0.5791258811950684,0.9965731501579285,-1.0,0.0015681558288633823
bass\bass_loop_00559.wav,bass,174,56.31008030327606,0.8741451846584845,0.6077854743848858,0.2900801248281947,0.9983422534212704,193.24046363564725,saw,default,0.4785600006580353,0.9965352416038513,-1.0,-0.00016754979151301086
bass\bass_loop_00560.wav,bass,174,62.7216197795728,0.8600081557738921,0.5104705108771554,0.6180368533006346,1.0424414872179115,172.85752652384164,saw,jumpup,0.46685951948165894,0.9978585839271545,-1.0,-0.00039263430517166853
bass\bass_loop_00561.wav,bass,174,42.83519576753696,0.8742014846359061,0.6918652831492451,0.40634484104099833,0.9518009998166205,99.50126984579035,sine,liquid,0.5719334483146667,0.9959430694580078,-1.0,0.0036116582341492176
bass\bass_loop_00562.wav,bass,174,60.22767112189848,0.9374230756131325,0.5047323983736717,0.6062147547014646,0.9653322055848531,188.5954390476501,saw,jumpup,0.5612891912460327,0.9960625767707825,-1.0,0.0006073541007936001
bass\bass_loop_00563.wav,bass,174,38.31496868405999,0.8508562268327711,0.8276969915714039,0.0,0.0,157.2472897779495,sine,default,0.5962899327278137,0.9964680075645447,-1.0,0.0022309317719191313
bass\bass_loop_00564.wav,bass,174,49.606851478350556,0.928056941800494,0.6706361084135661,0.7111874010000464,0.9791049218669272,118.56671989829925,sine,default,0.5413365364074707,1.0,-0.9978053569793701,-0.0014771593268960714
bass\bass_loop_00565.wav,bass,174,49.89696027561826,0.9787997823777839,0.711773125360186,0.6905809553454023,1.0247630677230835,125.04695296145128,sine,default,0.6000319719314575,1.0,-0.9971346855163574,-0.000508348923176527
bass\bass_loop_00566.wav,bass,174,51.61404107836855,0.9393298467574582,0.7267538549081717,0.6898417812859164,1.017162165346023,116.65863475697866,sine,default,0.6044701933860779,0.997017502784729,-1.0,0.001563114463351667
bass\bass_loop_00567.wav,bass,174,40.84160375839557,0.8519698027739698,0.7905728664317938,0.0,0.0,146.99722749564498,sine,default,0.5319885015487671,0.9964097738265991,-1.0,-0.0008080643601715565
